gender,province,education,income,vote,vote_LP
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Low-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Low-income,Conservative Party,0
Male,Ontario,Tertiary Education,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Upper Secondary,Middle-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Male,British Columbia,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Low-income,Liberal Party,1
Female,New Brunswick,Upper Secondary,Middle-income,Liberal Party,1
Female,New Brunswick,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Upper Secondary,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Upper Secondary,Upper-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Manitoba,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Low-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Upper-income,Liberal Party,1
Female,Quebec,Upper Secondary,Middle-income,Liberal Party,1
Male,Nova Scotia,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Upper Secondary,Low-income,Liberal Party,1
Male,Alberta,Upper Secondary,Low-income,Conservative Party,0
Female,Prince Edward Island,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Low-income,Liberal Party,1
Male,Ontario,Below Upper-Secondary,Middle-income,Liberal Party,1
Male,Prince Edward Island,Tertiary Education,Middle-income,Conservative Party,0
Male,Saskatchewan,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Upper-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Nova Scotia,Upper Secondary,Middle-income,Liberal Party,1
Female,Ontario,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Low-income,Liberal Party,1
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Nova Scotia,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Upper Secondary,Middle-income,Conservative Party,0
Female,Nova Scotia,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Upper-income,Conservative Party,0
Female,Quebec,Upper Secondary,Middle-income,Liberal Party,1
Female,Alberta,Upper Secondary,Middle-income,Liberal Party,1
Female,Saskatchewan,Tertiary Education,Middle-income,Liberal Party,1
Female,Manitoba,Tertiary Education,Middle-income,Liberal Party,1
Male,Quebec,Tertiary Education,Low-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Saskatchewan,Tertiary Education,Low-income,Conservative Party,0
Female,Alberta,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Low-income,Liberal Party,1
Female,Ontario,Upper Secondary,Upper-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Female,Ontario,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Liberal Party,1
Female,Nova Scotia,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Quebec,Upper Secondary,Low-income,Liberal Party,1
Male,Alberta,Upper Secondary,Low-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Male,Alberta,Upper Secondary,Low-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Liberal Party,1
Male,Quebec,Upper Secondary,Low-income,Liberal Party,1
Male,Nova Scotia,Upper Secondary,Middle-income,Conservative Party,0
Male,British Columbia,Upper Secondary,Middle-income,Liberal Party,1
Male,Ontario,Upper Secondary,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,British Columbia,Tertiary Education,Low-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Prince Edward Island,Upper Secondary,Low-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Manitoba,Tertiary Education,Middle-income,Conservative Party,0
Female,Newfoundland and Labrador,Tertiary Education,Middle-income,Liberal Party,1
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Male,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Quebec,Upper Secondary,Middle-income,Conservative Party,0
Female,Nova Scotia,Tertiary Education,Low-income,Conservative Party,0
Female,Alberta,Upper Secondary,Middle-income,Conservative Party,0
Male,Ontario,Upper Secondary,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Upper Secondary,Low-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Female,Nova Scotia,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Upper-income,Conservative Party,0
Female,Ontario,Upper Secondary,Low-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Male,New Brunswick,Tertiary Education,Middle-income,Liberal Party,1
Other gender,Alberta,Tertiary Education,Upper-income,Liberal Party,1
Female,Manitoba,Tertiary Education,Low-income,Conservative Party,0
Female,Manitoba,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Upper Secondary,Low-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Low-income,Liberal Party,1
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Quebec,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Saskatchewan,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Low-income,Conservative Party,0
Male,Manitoba,Upper Secondary,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Manitoba,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Saskatchewan,Upper Secondary,Low-income,Conservative Party,0
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Male,Saskatchewan,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Upper Secondary,Middle-income,Liberal Party,1
Male,Ontario,Tertiary Education,Upper-income,Conservative Party,0
Female,Alberta,Tertiary Education,Low-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Liberal Party,1
Male,British Columbia,Upper Secondary,Middle-income,Conservative Party,0
Male,British Columbia,Upper Secondary,Middle-income,Conservative Party,0
Male,Quebec,Tertiary Education,Upper-income,Liberal Party,1
Male,Quebec,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Low-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Upper Secondary,Low-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Alberta,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Low-income,Liberal Party,1
Female,Ontario,Upper Secondary,Middle-income,Liberal Party,1
Female,Saskatchewan,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Low-income,Conservative Party,0
Female,British Columbia,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Low-income,Conservative Party,0
Male,Alberta,Tertiary Education,Upper-income,Conservative Party,0
Male,Ontario,Upper Secondary,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Male,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Male,British Columbia,Upper Secondary,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,Alberta,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Upper Secondary,Upper-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Female,Alberta,Upper Secondary,Middle-income,Liberal Party,1
Male,Quebec,Upper Secondary,Middle-income,Liberal Party,1
Male,Alberta,Upper Secondary,Middle-income,Conservative Party,0
Female,Saskatchewan,Upper Secondary,Low-income,Conservative Party,0
Female,Manitoba,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Upper Secondary,Low-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Upper-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Other gender,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Male,Alberta,Upper Secondary,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Low-income,Liberal Party,1
Male,Ontario,Upper Secondary,Upper-income,Liberal Party,1
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Liberal Party,1
Male,Alberta,Tertiary Education,Upper-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Alberta,Tertiary Education,Upper-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Upper-income,Liberal Party,1
Female,Quebec,Upper Secondary,Low-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Middle-income,Conservative Party,0
Female,Saskatchewan,Tertiary Education,Middle-income,Conservative Party,0
Female,British Columbia,Tertiary Education,Middle-income,Liberal Party,1
Other gender,Manitoba,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Low-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Male,Ontario,Tertiary Education,Middle-income,Conservative Party,0
Female,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Male,Ontario,Upper Secondary,Middle-income,Conservative Party,0
Female,Ontario,Tertiary Education,Upper-income,Liberal Party,1
Male,British Columbia,Upper Secondary,Middle-income,Liberal Party,1
Male,Quebec,Tertiary Education,Middle-income,Liberal Party,1
Female,Ontario,Tertiary Education,Low-income,Liberal Party,1
Male,Ontario,Tertiary Education,Upper-income,Conservative Party,0
